interacting_pair,interacting_cell,id,valueResponders,valueNonresponders,RatioRespondersVsNonresponders,LogRatioRespondersVsNonresponders
TNFRSF1A_GRN,CAFs.pDCs,TNFRSF1A_GRN-CAFs.pDCs,2.626,3.013,0.871556588,-0.05970441
PTPRC_CD22,CD4_T_cells.B_cells,PTPRC_CD22-CD4_T_cells.B_cells,5.134,0.1,51.34,1.710455864
KLRB1_CLEC2D,CD4_T_cells.B_cells,KLRB1_CLEC2D-CD4_T_cells.B_cells,3.444,5.086,0.677152969,-0.169313213
CD55_ADGRE5,CD4_T_cells.B_cells,CD55_ADGRE5-CD4_T_cells.B_cells,3.349,0.1,33.49,1.524915148
CD40LG_a5b1 complex,CD4_T_cells.CAFs,CD40LG_a5b1 complex-CD4_T_cells.CAFs,0.702,1.101,0.63760218,-0.195450207
IL6 receptor_IL6,CD4_T_cells.CAFs,IL6 receptor_IL6-CD4_T_cells.CAFs,1.728,0.1,17.28,1.237543738
CCR7_CCL19,CD4_T_cells.CAFs,CCR7_CCL19-CD4_T_cells.CAFs,4.072,0.1,40.72,1.609807769
LAMP1_FAM3C,CD4_T_cells.CAFs,LAMP1_FAM3C-CD4_T_cells.CAFs,1.104,1.055,1.046445498,0.019716614
CD46_JAG1,CD4_T_cells.CAFs,CD46_JAG1-CD4_T_cells.CAFs,0.811,0.1,8.11,0.909020854
ICAM2_aLb2 complex,CD4_T_cells.CD4_T_cells,ICAM2_aLb2 complex-CD4_T_cells.CD4_T_cells,0.716,0.619,1.156704362,0.063222373
KLRB1_CLEC2D,CD4_T_cells.CD4_T_cells,KLRB1_CLEC2D-CD4_T_cells.CD4_T_cells,5.023,6.027,0.833416293,-0.079138013
ICAM3_aLb2 complex,CD4_T_cells.CD4_T_cells,ICAM3_aLb2 complex-CD4_T_cells.CD4_T_cells,1.253,1.169,1.071856287,0.03013656
CD2_CD58,CD4_T_cells.CD4_T_cells,CD2_CD58-CD4_T_cells.CD4_T_cells,4.815,4.918,0.979056527,-0.009192233
ICAM2_aLb2 complex,CD4_T_cells.CD8_act_T_cells,ICAM2_aLb2 complex-CD4_T_cells.CD8_act_T_cells,0.74,0.808,0.915841584,-0.038179641
KLRB1_CLEC2D,CD4_T_cells.CD8_act_T_cells,KLRB1_CLEC2D-CD4_T_cells.CD8_act_T_cells,4.095,4.876,0.839827728,-0.075809791
ICAM3_aLb2 complex,CD4_T_cells.CD8_act_T_cells,ICAM3_aLb2 complex-CD4_T_cells.CD8_act_T_cells,1.277,1.358,0.940353461,-0.026708873
CD55_ADGRE5,CD4_T_cells.CD8_act_T_cells,CD55_ADGRE5-CD4_T_cells.CD8_act_T_cells,2.667,1.813,1.471042471,0.167625212
FAS_FASLG,CD4_T_cells.CD8_ex_T_cells,FAS_FASLG-CD4_T_cells.CD8_ex_T_cells,1.149,1.171,0.981212639,-0.008236866
ICAM2_aLb2 complex,CD4_T_cells.CD8_ex_T_cells,ICAM2_aLb2 complex-CD4_T_cells.CD8_ex_T_cells,0.937,0.665,1.409022556,0.148917946
KLRB1_CLEC2D,CD4_T_cells.CD8_ex_T_cells,KLRB1_CLEC2D-CD4_T_cells.CD8_ex_T_cells,6.584,7.421,0.887211966,-0.051972609
ICAM3_aLb2 complex,CD4_T_cells.CD8_ex_T_cells,ICAM3_aLb2 complex-CD4_T_cells.CD8_ex_T_cells,1.474,1.216,1.212171053,0.083563909
CD2_CD58,CD4_T_cells.CD8_ex_T_cells,CD2_CD58-CD4_T_cells.CD8_ex_T_cells,5.267,5.068,1.039265983,0.016726712
FAS_FASLG,CD4_T_cells.CD8_mem_T_cells,FAS_FASLG-CD4_T_cells.CD8_mem_T_cells,1.323,1.343,0.985107967,-0.006516168
ICAM2_aLb2 complex,CD4_T_cells.CD8_mem_T_cells,ICAM2_aLb2 complex-CD4_T_cells.CD8_mem_T_cells,0.653,0.62,1.053225806,0.022521492
KLRB1_CLEC2D,CD4_T_cells.CD8_mem_T_cells,KLRB1_CLEC2D-CD4_T_cells.CD8_mem_T_cells,5.799,6.764,0.857332939,-0.06685049
ICAM3_aLb2 complex,CD4_T_cells.CD8_mem_T_cells,ICAM3_aLb2 complex-CD4_T_cells.CD8_mem_T_cells,1.19,1.17,1.017094017,0.0073611
CD2_CD58,CD4_T_cells.CD8_mem_T_cells,CD2_CD58-CD4_T_cells.CD8_mem_T_cells,5.169,4.998,1.034213685,0.01461028
CTLA4_CD80,CD4_T_cells.DCs,CTLA4_CD80-CD4_T_cells.DCs,0.923,1.487,0.620712845,-0.207109267
CD28_CD80,CD4_T_cells.DCs,CD28_CD80-CD4_T_cells.DCs,0.878,1.625,0.540307692,-0.267358849
CTLA4_CD86,CD4_T_cells.DCs,CTLA4_CD86-CD4_T_cells.DCs,2.032,4.621,0.43973166,-0.356812265
CD28_CD86,CD4_T_cells.DCs,CD28_CD86-CD4_T_cells.DCs,1.987,4.759,0.41752469,-0.379317838
HLA-DPB1_TNFSF13B,CD4_T_cells.DCs,HLA-DPB1_TNFSF13B-CD4_T_cells.DCs,5.535,0.1,55.35,1.743117625
CXCR6_CXCL16,CD4_T_cells.DCs,CXCR6_CXCL16-CD4_T_cells.DCs,6.221,4.336,1.434732472,0.156770928
CD6_ALCAM,CD4_T_cells.DCs,CD6_ALCAM-CD4_T_cells.DCs,2.655,2.689,0.987355894,-0.005526277
CD2_CD58,CD4_T_cells.DCs,CD2_CD58-CD4_T_cells.DCs,5.488,5.695,0.963652327,-0.016079626
CD40LG_a5b1 complex,CD4_T_cells.Endothelial,CD40LG_a5b1 complex-CD4_T_cells.Endothelial,1.11,1.475,0.752542373,-0.123469042
NOTCH2_DLL4,CD4_T_cells.Endothelial,NOTCH2_DLL4-CD4_T_cells.Endothelial,1.429,0.755,1.892715232,0.277085277
TNFSF10_TNFRSF10D,CD4_T_cells.Endothelial,TNFSF10_TNFRSF10D-CD4_T_cells.Endothelial,2.12,1.096,1.934306569,0.286525307
MIF_TNFRSF10D,CD4_T_cells.Endothelial,MIF_TNFRSF10D-CD4_T_cells.Endothelial,4.669,0.1,46.69,1.669223874
CD44_SELE,CD4_T_cells.Endothelial,CD44_SELE-CD4_T_cells.Endothelial,9.007,5.325,1.691455399,0.228260551
CD46_JAG1,CD4_T_cells.Endothelial,CD46_JAG1-CD4_T_cells.Endothelial,0.948,1.208,0.784768212,-0.105258597
CCR6_CCL20,CD4_T_cells.Macrophages,CCR6_CCL20-CD4_T_cells.Macrophages,5.208,10.885,0.478456592,-0.320157458
ANXA1_FPR1,CD4_T_cells.Macrophages,ANXA1_FPR1-CD4_T_cells.Macrophages,6.883,0.1,68.83,1.83777777
ANXA1_FPR3,CD4_T_cells.Macrophages,ANXA1_FPR3-CD4_T_cells.Macrophages,6.7,0.1,67,1.826074803
CD40LG_a5b1 complex,CD4_T_cells.Macrophages,CD40LG_a5b1 complex-CD4_T_cells.Macrophages,1.009,1.22,0.82704918,-0.082468664
CD99_PILRA,CD4_T_cells.Macrophages,CD99_PILRA-CD4_T_cells.Macrophages,2.785,2.809,0.991456034,-0.00372654
CTLA4_CD86,CD4_T_cells.Macrophages,CTLA4_CD86-CD4_T_cells.Macrophages,1.597,1.553,1.02833226,0.01213346
CD28_CD86,CD4_T_cells.Macrophages,CD28_CD86-CD4_T_cells.Macrophages,1.552,1.691,0.917800118,-0.037251891
HLA-F_LILRB2,CD4_T_cells.Macrophages,HLA-F_LILRB2-CD4_T_cells.Macrophages,1.188,1.261,0.942109437,-0.025898646
CXCR6_CXCL16,CD4_T_cells.Macrophages,CXCR6_CXCL16-CD4_T_cells.Macrophages,3.434,3.127,1.098177167,0.04067241
HLA-G_LILRB1,CD4_T_cells.Macrophages,HLA-G_LILRB1-CD4_T_cells.Macrophages,0.789,0.1,7.89,0.897077003
HLA-G_LILRB2,CD4_T_cells.Macrophages,HLA-G_LILRB2-CD4_T_cells.Macrophages,1.002,0.1,10.02,1.000867722
CD6_ALCAM,CD4_T_cells.Macrophages,CD6_ALCAM-CD4_T_cells.Macrophages,2.136,2.381,0.897102058,-0.047158147
CD2_CD58,CD4_T_cells.Macrophages,CD2_CD58-CD4_T_cells.Macrophages,5.089,5.009,1.015971252,0.006881419
COPA_SORT1,CD4_T_cells.Melanocytes,COPA_SORT1-CD4_T_cells.Melanocytes,0.726,0.613,1.184339315,0.073476146
CD6_ALCAM,CD4_T_cells.Melanocytes,CD6_ALCAM-CD4_T_cells.Melanocytes,1.847,0.1,18.47,1.266466895
CD2_CD58,CD4_T_cells.Melanocytes,CD2_CD58-CD4_T_cells.Melanocytes,4.695,4.661,1.007294572,0.003156494
CD40LG_a5b1 complex,CD4_T_cells.Myofibroblasts,CD40LG_a5b1 complex-CD4_T_cells.Myofibroblasts,0.641,0.788,0.813451777,-0.089668188
IL6 receptor_IL6,CD4_T_cells.Myofibroblasts,IL6 receptor_IL6-CD4_T_cells.Myofibroblasts,1.999,0.1,19.99,1.300812794
COPA_SORT1,CD4_T_cells.Myofibroblasts,COPA_SORT1-CD4_T_cells.Myofibroblasts,0.748,0.594,1.259259259,0.100115153
CD46_JAG1,CD4_T_cells.Myofibroblasts,CD46_JAG1-CD4_T_cells.Myofibroblasts,1.815,1.706,1.063892145,0.026897603
CLEC2B_KLRF1,CD4_T_cells.NK_cells,CLEC2B_KLRF1-CD4_T_cells.NK_cells,2.017,0.1,20.17,1.304705898
FAS_FASLG,CD4_T_cells.NK_cells,FAS_FASLG-CD4_T_cells.NK_cells,2.467,1.882,1.310839532,0.11754953
HLA-E_KLRC1,CD4_T_cells.NK_cells,HLA-E_KLRC1-CD4_T_cells.NK_cells,6.913,7.582,0.911764706,-0.040117223
KLRB1_CLEC2D,CD4_T_cells.NK_cells,KLRB1_CLEC2D-CD4_T_cells.NK_cells,3.6,5.116,0.703674746,-0.152628035
CD2_CD58,CD4_T_cells.NK_cells,CD2_CD58-CD4_T_cells.NK_cells,4.936,4.967,0.993758808,-0.002719009
CD46_JAG1,CD4_T_cells.NK_cells,CD46_JAG1-CD4_T_cells.NK_cells,0.94,0.1,9.4,0.973127854
CD55_ADGRE5,CD4_T_cells.NK_cells,CD55_ADGRE5-CD4_T_cells.NK_cells,4.895,2.436,2.009441708,0.303075412
CD6_ALCAM,CD4_T_cells.Plasma_cells,CD6_ALCAM-CD4_T_cells.Plasma_cells,1.771,0.1,17.71,1.248218561
CD2_CD58,CD4_T_cells.Plasma_cells,CD2_CD58-CD4_T_cells.Plasma_cells,4.568,0.1,45.68,1.659726095
CD47_SIRPG,CD4_T_cells.Tcell_prolif,CD47_SIRPG-CD4_T_cells.Tcell_prolif,0.792,0.737,1.074626866,0.031257694
FAS_FASLG,CD4_T_cells.Tcell_prolif,FAS_FASLG-CD4_T_cells.Tcell_prolif,1.249,0.1,12.49,1.096562438
ICAM2_aLb2 complex,CD4_T_cells.Tcell_prolif,ICAM2_aLb2 complex-CD4_T_cells.Tcell_prolif,0.724,0.665,1.088721805,0.036916921
KLRB1_CLEC2D,CD4_T_cells.Tcell_prolif,KLRB1_CLEC2D-CD4_T_cells.Tcell_prolif,4.916,5.321,0.923886488,-0.034381385
ICAM3_aLb2 complex,CD4_T_cells.Tcell_prolif,ICAM3_aLb2 complex-CD4_T_cells.Tcell_prolif,1.261,1.216,1.037006579,0.015781512
CD2_CD58,CD4_T_cells.Tcell_prolif,CD2_CD58-CD4_T_cells.Tcell_prolif,5.106,4.996,1.022017614,0.009458381
ICAM2_aLb2 complex,CD4_T_cells.Tregs,ICAM2_aLb2 complex-CD4_T_cells.Tregs,0.757,0.559,1.354203936,0.131684072
KLRB1_CLEC2D,CD4_T_cells.Tregs,KLRB1_CLEC2D-CD4_T_cells.Tregs,5.301,6.499,0.815663948,-0.088488733
ICAM3_aLb2 complex,CD4_T_cells.Tregs,ICAM3_aLb2 complex-CD4_T_cells.Tregs,1.294,1.11,1.165765766,0.066611298
CD2_CD58,CD4_T_cells.Tregs,CD2_CD58-CD4_T_cells.Tregs,5.262,5.169,1.017991875,0.007744312
CD40LG_a5b1 complex,CD4_T_cells.Tumor_1,CD40LG_a5b1 complex-CD4_T_cells.Tumor_1,0.618,1.458,0.423868313,-0.372769049
CD6_ALCAM,CD4_T_cells.Tumor_1,CD6_ALCAM-CD4_T_cells.Tumor_1,2.305,3.793,0.607698392,-0.216311913
CD46_JAG1,CD4_T_cells.Tumor_1,CD46_JAG1-CD4_T_cells.Tumor_1,1.162,1.186,0.979763912,-0.008878561
CD44_HBEGF,CD4_T_cells.Tumor_2,CD44_HBEGF-CD4_T_cells.Tumor_2,4.297,4.791,0.896890002,-0.047260817
CD46_JAG1,CD4_T_cells.Tumor_2,CD46_JAG1-CD4_T_cells.Tumor_2,0.758,2.084,0.363723608,-0.439228509
TGFB1_TGFbeta receptor1,CD4_T_cells.pDCs,TGFB1_TGFbeta receptor1-CD4_T_cells.pDCs,2.188,2.259,0.968570164,-0.013868913
COPA_P2RY6,CD4_T_cells.pDCs,COPA_P2RY6-CD4_T_cells.pDCs,2.885,3.661,0.788036056,-0.103453911
NAMPT_P2RY6,CD4_T_cells.pDCs,NAMPT_P2RY6-CD4_T_cells.pDCs,2.814,3.793,0.741892961,-0.12965875
HLA-F_LILRB2,CD4_T_cells.pDCs,HLA-F_LILRB2-CD4_T_cells.pDCs,1.143,1.198,0.95409015,-0.020410588
CXCR6_CXCL16,CD4_T_cells.pDCs,CXCR6_CXCL16-CD4_T_cells.pDCs,2.134,2.548,0.837519623,-0.077005009
KLRB1_CLEC2D,CD4_T_cells.pDCs,KLRB1_CLEC2D-CD4_T_cells.pDCs,3.28,4.352,0.753676471,-0.122815043
HLA-G_LILRB1,CD4_T_cells.pDCs,HLA-G_LILRB1-CD4_T_cells.pDCs,0.704,0.1,7.04,0.847572659
COPA_SORT1,CD4_T_cells.pDCs,COPA_SORT1-CD4_T_cells.pDCs,0.687,0.1,6.87,0.836956737
HLA-G_LILRB2,CD4_T_cells.pDCs,HLA-G_LILRB2-CD4_T_cells.pDCs,0.958,0.1,9.58,0.981365509
CD6_ALCAM,CD4_T_cells.pDCs,CD6_ALCAM-CD4_T_cells.pDCs,2.393,2.941,0.81366882,-0.089552326
TNFRSF1B_GRN,CD4_T_cells.pDCs,TNFRSF1B_GRN-CD4_T_cells.pDCs,2.887,3.441,0.839000291,-0.076237889
CCL4_CNR2,CD8_act_T_cells.B_cells,CCL4_CNR2-CD8_act_T_cells.B_cells,8.462,0.1,84.62,1.927473021
PTPRC_CD22,CD8_act_T_cells.B_cells,PTPRC_CD22-CD8_act_T_cells.B_cells,4.521,0.1,45.21,1.655234507
CD27_CD70,CD8_act_T_cells.B_cells,CD27_CD70-CD8_act_T_cells.B_cells,2.625,0.1,26.25,1.419129308
IFNG_Type II IFNR,CD8_act_T_cells.B_cells,IFNG_Type II IFNR-CD8_act_T_cells.B_cells,2.851,0.1,28.51,1.454997217
CD55_ADGRE5,CD8_act_T_cells.B_cells,CD55_ADGRE5-CD8_act_T_cells.B_cells,3.573,1.82,1.963186813,0.292961628
TNF_PTPRS,CD8_act_T_cells.CAFs,TNF_PTPRS-CD8_act_T_cells.CAFs,1.066,3.336,0.319544365,-0.495468837
TNF_RIPK1,CD8_act_T_cells.CAFs,TNF_RIPK1-CD8_act_T_cells.CAFs,1.009,0.1,10.09,1.003891166
CXCR3_CCL19,CD8_act_T_cells.CAFs,CXCR3_CCL19-CD8_act_T_cells.CAFs,3.878,0.1,38.78,1.588607805
TNF_FAS,CD8_act_T_cells.CAFs,TNF_FAS-CD8_act_T_cells.CAFs,1.166,3.371,0.345891427,-0.461060202
CCR7_CCL19,CD8_act_T_cells.CAFs,CCR7_CCL19-CD8_act_T_cells.CAFs,3.923,0.1,39.23,1.593618308
IFNG_Type II IFNR,CD8_act_T_cells.CAFs,IFNG_Type II IFNR-CD8_act_T_cells.CAFs,2.644,4.145,0.63787696,-0.195263084
TNF_TNFRSF1A,CD8_act_T_cells.CAFs,TNF_TNFRSF1A-CD8_act_T_cells.CAFs,1.371,3.89,0.352442159,-0.452912147
LAMP1_FAM3C,CD8_act_T_cells.CAFs,LAMP1_FAM3C-CD8_act_T_cells.CAFs,1.161,0.1,11.61,1.06483222
CCL5_CCR4,CD8_act_T_cells.CD4_T_cells,CCL5_CCR4-CD8_act_T_cells.CD4_T_cells,8.708,10.308,0.844780753,-0.07325599
TNF_ICOS,CD8_act_T_cells.CD4_T_cells,TNF_ICOS-CD8_act_T_cells.CD4_T_cells,1.406,4.072,0.345284872,-0.461822449
TNF_FAS,CD8_act_T_cells.CD4_T_cells,TNF_FAS-CD8_act_T_cells.CD4_T_cells,1.679,3.978,0.422071393,-0.374614083
KLRB1_CLEC2D,CD8_act_T_cells.CD4_T_cells,KLRB1_CLEC2D-CD8_act_T_cells.CD4_T_cells,3.191,0.1,31.91,1.503926804
CD8 receptor_LCK,CD8_act_T_cells.CD4_T_cells,CD8 receptor_LCK-CD8_act_T_cells.CD4_T_cells,2.547,3.746,0.679925254,-0.167538828
ICAM3_aLb2 complex,CD8_act_T_cells.CD4_T_cells,ICAM3_aLb2 complex-CD8_act_T_cells.CD4_T_cells,1.157,1.052,1.099809886,0.041317619
TNF_ICOS,CD8_act_T_cells.CD8_act_T_cells,TNF_ICOS-CD8_act_T_cells.CD8_act_T_cells,1.995,4.022,0.49602188,-0.304499166
TNF_FAS,CD8_act_T_cells.CD8_act_T_cells,TNF_FAS-CD8_act_T_cells.CD8_act_T_cells,1.402,0.1,14.02,1.146748014
CD8 receptor_LCK,CD8_act_T_cells.CD8_act_T_cells,CD8 receptor_LCK-CD8_act_T_cells.CD8_act_T_cells,1.946,2.771,0.702273547,-0.15349369
ICAM3_aLb2 complex,CD8_act_T_cells.CD8_act_T_cells,ICAM3_aLb2 complex-CD8_act_T_cells.CD8_act_T_cells,1.181,1.241,0.951651894,-0.021521884
CD55_ADGRE5,CD8_act_T_cells.CD8_act_T_cells,CD55_ADGRE5-CD8_act_T_cells.CD8_act_T_cells,2.892,2.16,1.338888889,0.126744537
TNFSF9_TNFRSF9,CD8_act_T_cells.CD8_ex_T_cells,TNFSF9_TNFRSF9-CD8_act_T_cells.CD8_ex_T_cells,2.33,3.384,0.688534279,-0.162074433
TNF_ICOS,CD8_act_T_cells.CD8_ex_T_cells,TNF_ICOS-CD8_act_T_cells.CD8_ex_T_cells,2.126,4.425,0.480451977,-0.318350015
TNF_TNFRSF1B,CD8_act_T_cells.CD8_ex_T_cells,TNF_TNFRSF1B-CD8_act_T_cells.CD8_ex_T_cells,2.911,4.751,0.612713113,-0.212742825
TNF_FAS,CD8_act_T_cells.CD8_ex_T_cells,TNF_FAS-CD8_act_T_cells.CD8_ex_T_cells,1.536,3.682,0.417164584,-0.379692568
HLA-E_KLRC1,CD8_act_T_cells.CD8_ex_T_cells,HLA-E_KLRC1-CD8_act_T_cells.CD8_ex_T_cells,6.959,0.1,69.59,1.842546836
KLRB1_CLEC2D,CD8_act_T_cells.CD8_ex_T_cells,KLRB1_CLEC2D-CD8_act_T_cells.CD8_ex_T_cells,4.751,0.1,47.51,1.67678503
CD8 receptor_LCK,CD8_act_T_cells.CD8_ex_T_cells,CD8 receptor_LCK-CD8_act_T_cells.CD8_ex_T_cells,2.341,2.903,0.806407165,-0.093445622
ICAM3_aLb2 complex,CD8_act_T_cells.CD8_ex_T_cells,ICAM3_aLb2 complex-CD8_act_T_cells.CD8_ex_T_cells,1.378,1.098,1.255009107,0.098646877
TNFSF9_TNFRSF9,CD8_act_T_cells.CD8_mem_T_cells,TNFSF9_TNFRSF9-CD8_act_T_cells.CD8_mem_T_cells,1.757,0.1,17.57,1.244771761
TNF_ICOS,CD8_act_T_cells.CD8_mem_T_cells,TNF_ICOS-CD8_act_T_cells.CD8_mem_T_cells,1.311,3.579,0.366303437,-0.436159007
TNF_TNFRSF1B,CD8_act_T_cells.CD8_mem_T_cells,TNF_TNFRSF1B-CD8_act_T_cells.CD8_mem_T_cells,2.931,4.668,0.627892031,-0.202115029
TNF_FAS,CD8_act_T_cells.CD8_mem_T_cells,TNF_FAS-CD8_act_T_cells.CD8_mem_T_cells,1.189,3.699,0.321438227,-0.492902477
FAS_FASLG,CD8_act_T_cells.CD8_mem_T_cells,FAS_FASLG-CD8_act_T_cells.CD8_mem_T_cells,1.045,0.1,10.45,1.01911629
TNF_TNFRSF1A,CD8_act_T_cells.CD8_mem_T_cells,TNF_TNFRSF1A-CD8_act_T_cells.CD8_mem_T_cells,1.34,3.494,0.383514596,-0.416218102
KLRB1_CLEC2D,CD8_act_T_cells.CD8_mem_T_cells,KLRB1_CLEC2D-CD8_act_T_cells.CD8_mem_T_cells,3.967,0.1,39.67,1.5984622
CD8 receptor_LCK,CD8_act_T_cells.CD8_mem_T_cells,CD8 receptor_LCK-CD8_act_T_cells.CD8_mem_T_cells,1.873,2.866,0.653524075,-0.184738409
ICAM3_aLb2 complex,CD8_act_T_cells.CD8_mem_T_cells,ICAM3_aLb2 complex-CD8_act_T_cells.CD8_mem_T_cells,1.095,1.053,1.03988604,0.016985748
TNF_DAG1,CD8_act_T_cells.DCs,TNF_DAG1-CD8_act_T_cells.DCs,0.973,0.1,9.73,0.98811284
CD28_CD80,CD8_act_T_cells.DCs,CD28_CD80-CD8_act_T_cells.DCs,0.743,0.1,7.43,0.870988814
TNFSF9_TNFRSF9,CD8_act_T_cells.DCs,TNFSF9_TNFRSF9-CD8_act_T_cells.DCs,1.864,3.191,0.584142902,-0.233480896
CCL4_SLC7A1,CD8_act_T_cells.DCs,CCL4_SLC7A1-CD8_act_T_cells.DCs,8.63,19.017,0.453804491,-0.343131211
CD28_CD86,CD8_act_T_cells.DCs,CD28_CD86-CD8_act_T_cells.DCs,1.851,0.1,18.51,1.267406419
CXCR3_CCL19,CD8_act_T_cells.DCs,CXCR3_CCL19-CD8_act_T_cells.DCs,1.523,0.1,15.23,1.182699903
HLA-DPB1_TNFSF13B,CD8_act_T_cells.DCs,HLA-DPB1_TNFSF13B-CD8_act_T_cells.DCs,6.275,0.1,62.75,1.79761373
IFNG_Type II IFNR,CD8_act_T_cells.DCs,IFNG_Type II IFNR-CD8_act_T_cells.DCs,3.463,4.039,0.857390443,-0.066821362
HLA-F_LILRB2,CD8_act_T_cells.DCs,HLA-F_LILRB2-CD8_act_T_cells.DCs,1.511,1.465,1.031399317,0.01342684
CXCR6_CXCL16,CD8_act_T_cells.DCs,CXCR6_CXCL16-CD8_act_T_cells.DCs,5.23,0.1,52.3,1.718501689
CD6_ALCAM,CD8_act_T_cells.DCs,CD6_ALCAM-CD8_act_T_cells.DCs,1.97,1.604,1.228179551,0.089261862
TNF_NOTCH1,CD8_act_T_cells.Endothelial,TNF_NOTCH1-CD8_act_T_cells.Endothelial,1.173,3.538,0.331543245,-0.479459816
CCL5_ACKR1,CD8_act_T_cells.Endothelial,CCL5_ACKR1-CD8_act_T_cells.Endothelial,11.739,15.424,0.761086618,-0.118565914
MIF_TNFRSF10D,CD8_act_T_cells.Endothelial,MIF_TNFRSF10D-CD8_act_T_cells.Endothelial,4.01,0.1,40.1,1.603144373
CD44_SELE,CD8_act_T_cells.Endothelial,CD44_SELE-CD8_act_T_cells.Endothelial,9.963,5.739,1.736016728,0.239553906
IFNG_Type II IFNR,CD8_act_T_cells.Endothelial,IFNG_Type II IFNR-CD8_act_T_cells.Endothelial,2.655,4.174,0.636080498,-0.196487919
CD44_HBEGF,CD8_act_T_cells.Endothelial,CD44_HBEGF-CD8_act_T_cells.Endothelial,4.059,3.909,1.038372985,0.016353381
TNF_TNFRSF1A,CD8_act_T_cells.Endothelial,TNF_TNFRSF1A-CD8_act_T_cells.Endothelial,1.433,4.139,0.346218893,-0.460649236
CD46_JAG1,CD8_act_T_cells.Endothelial,CD46_JAG1-CD8_act_T_cells.Endothelial,0.697,1.276,0.546238245,-0.262617896
ANXA1_FPR1,CD8_act_T_cells.Macrophages,ANXA1_FPR1-CD8_act_T_cells.Macrophages,8.252,10.052,0.820931158,-0.085693261
ANXA1_FPR3,CD8_act_T_cells.Macrophages,ANXA1_FPR3-CD8_act_T_cells.Macrophages,8.068,10.065,0.801589667,-0.09604789
CXCR3_CCL20,CD8_act_T_cells.Macrophages,CXCR3_CCL20-CD8_act_T_cells.Macrophages,4.927,0.1,49.27,1.692582562
CD99_PILRA,CD8_act_T_cells.Macrophages,CD99_PILRA-CD8_act_T_cells.Macrophages,3.361,2.775,1.211171171,0.083205525
CD28_CD86,CD8_act_T_cells.Macrophages,CD28_CD86-CD8_act_T_cells.Macrophages,1.416,0.1,14.16,1.151063253
TNF_TNFRSF1B,CD8_act_T_cells.Macrophages,TNF_TNFRSF1B-CD8_act_T_cells.Macrophages,2.725,5.292,0.514928193,-0.288253329
HLA-F_LILRB1,CD8_act_T_cells.Macrophages,HLA-F_LILRB1-CD8_act_T_cells.Macrophages,1.826,1.345,1.357620818,0.132778489
IFNG_Type II IFNR,CD8_act_T_cells.Macrophages,IFNG_Type II IFNR-CD8_act_T_cells.Macrophages,3.237,3.988,0.811685055,-0.09061245
CD44_HBEGF,CD8_act_T_cells.Macrophages,CD44_HBEGF-CD8_act_T_cells.Macrophages,4.293,0.1,42.93,1.632760888
TNF_TNFRSF1A,CD8_act_T_cells.Macrophages,TNF_TNFRSF1A-CD8_act_T_cells.Macrophages,1.431,3.879,0.368909513,-0.433080146
HLA-F_LILRB2,CD8_act_T_cells.Macrophages,HLA-F_LILRB2-CD8_act_T_cells.Macrophages,2.04,1.74,1.172413793,0.069080919
CXCR6_CXCL16,CD8_act_T_cells.Macrophages,CXCR6_CXCL16-CD8_act_T_cells.Macrophages,2.443,0.1,24.43,1.387923467
HLA-G_LILRB1,CD8_act_T_cells.Macrophages,HLA-G_LILRB1-CD8_act_T_cells.Macrophages,0.904,0.758,1.192612137,0.076499225
HLA-G_LILRB2,CD8_act_T_cells.Macrophages,HLA-G_LILRB2-CD8_act_T_cells.Macrophages,1.117,1.153,0.968777103,-0.013776134
CD6_ALCAM,CD8_act_T_cells.Macrophages,CD6_ALCAM-CD8_act_T_cells.Macrophages,1.451,1.296,1.119598765,0.049062411
TNFRSF1B_GRN,CD8_act_T_cells.Macrophages,TNFRSF1B_GRN-CD8_act_T_cells.Macrophages,2.549,2.404,1.06031614,0.025435372
CRTAM_CADM1,CD8_act_T_cells.Melanocytes,CRTAM_CADM1-CD8_act_T_cells.Melanocytes,1.273,0.1,12.73,1.104828404
TNF_DAG1,CD8_act_T_cells.Melanocytes,TNF_DAG1-CD8_act_T_cells.Melanocytes,1.076,3.326,0.323511726,-0.490109974
TNF_RIPK1,CD8_act_T_cells.Melanocytes,TNF_RIPK1-CD8_act_T_cells.Melanocytes,0.999,0.1,9.99,0.999565488
IFNG_Type II IFNR,CD8_act_T_cells.Melanocytes,IFNG_Type II IFNR-CD8_act_T_cells.Melanocytes,2.791,4.073,0.685244292,-0.164154574
TNF_TNFRSF1A,CD8_act_T_cells.Melanocytes,TNF_TNFRSF1A-CD8_act_T_cells.Melanocytes,1.087,3.419,0.317929219,-0.497669557
TNFRSF1B_GRN,CD8_act_T_cells.Melanocytes,TNFRSF1B_GRN-CD8_act_T_cells.Melanocytes,2.622,0.1,26.22,1.418632687
TNF_SEMA4C,CD8_act_T_cells.Myofibroblasts,TNF_SEMA4C-CD8_act_T_cells.Myofibroblasts,1.399,3.451,0.405389742,-0.392127245
TNF_RIPK1,CD8_act_T_cells.Myofibroblasts,TNF_RIPK1-CD8_act_T_cells.Myofibroblasts,1.085,3.351,0.323783945,-0.48974469
IFNG_Type II IFNR,CD8_act_T_cells.Myofibroblasts,IFNG_Type II IFNR-CD8_act_T_cells.Myofibroblasts,2.372,4.45,0.533033708,-0.273245326
