Ligand.Cellset,Receptor.Cellset,PreEffectiveScore,PreEffectiveNum,PreNonEffectiveScore,PreNonEffectiveNum,PreEffectiveVsNonEffectiveScoreRatio,PreEffectiveVsNonEffectiveNumRatio,PostEffectiveScore,PostEffectiveNum,PostNonEffectiveScore,PostNonEffectiveNum,EffectivePostVsPreScoreRatio,EffectivePostVsPreNumRatio,NonEffectivePostVsPreScoreRatio,NonEffectivePostVsPreNumRatio,ResVsNonResScoreRatio,ResVsNonResNumRatio
NK_cells,CAFs,15.2660 ,9.0000 ,44.9230 ,11.0000 ,0.3398 ,0.8182 ,48.2410 ,12.0000 ,41.2050 ,10.0000 ,3.1600 ,1.3333 ,0.9172 ,0.9091 ,3.4452 ,1.4667 
NK_cells,CD4_T_cells,19.9350 ,8.0000 ,33.8020 ,9.0000 ,0.5898 ,0.8889 ,27.7190 ,7.0000 ,43.5720 ,9.0000 ,1.3905 ,0.8750 ,1.2890 ,1.0000 ,1.0787 ,0.8750 
NK_cells,CD8_act_T_cells,28.7070 ,7.0000 ,30.2330 ,7.0000 ,0.9495 ,1.0000 ,41.1180 ,10.0000 ,42.8860 ,8.0000 ,1.4323 ,1.4286 ,1.4185 ,1.1429 ,1.0097 ,1.2500 
NK_cells,CD8_ex_T_cells,39.2680 ,10.0000 ,51.5810 ,12.0000 ,0.7613 ,0.8333 ,57.6860 ,14.0000 ,42.9950 ,11.0000 ,1.4690 ,1.4000 ,0.8335 ,0.9167 ,1.7624 ,1.5273 
NK_cells,CD8_mem_T_cells,30.6150 ,7.0000 ,49.0400 ,11.0000 ,0.6243 ,0.6364 ,45.2540 ,9.0000 ,38.0300 ,10.0000 ,1.4782 ,1.2857 ,0.7755 ,0.9091 ,1.9061 ,1.4143 
NK_cells,DCs,24.2250 ,9.0000 ,50.2850 ,12.0000 ,0.4818 ,0.7500 ,46.6000 ,12.0000 ,35.2760 ,12.0000 ,1.9236 ,1.3333 ,0.7015 ,1.0000 ,2.7421 ,1.3333 
NK_cells,Endothelial,64.2360 ,12.0000 ,90.9470 ,17.0000 ,0.7063 ,0.7059 ,93.0710 ,16.0000 ,102.9860 ,16.0000 ,1.4489 ,1.3333 ,1.1324 ,0.9412 ,1.2795 ,1.4167 
NK_cells,Macrophages,35.5440 ,15.0000 ,51.2750 ,15.0000 ,0.6932 ,1.0000 ,39.8250 ,7.0000 ,27.1440 ,10.0000 ,1.1204 ,0.4667 ,0.5294 ,0.6667 ,2.1165 ,0.7000 
NK_cells,Melanocytes,25.3360 ,10.0000 ,58.2290 ,13.0000 ,0.4351 ,0.7692 ,40.5360 ,7.0000 ,42.5630 ,9.0000 ,1.5999 ,0.7000 ,0.7310 ,0.6923 ,2.1888 ,1.0111 
NK_cells,Myofibroblasts,27.9420 ,9.0000 ,64.3720 ,15.0000 ,0.4341 ,0.6000 ,62.1650 ,9.0000 ,41.3180 ,8.0000 ,2.2248 ,1.0000 ,0.6419 ,0.5333 ,3.4661 ,1.8750 
NK_cells,NK_cells,49.0710 ,13.0000 ,84.7160 ,16.0000 ,0.5792 ,0.8125 ,45.3010 ,12.0000 ,77.3170 ,14.0000 ,0.9232 ,0.9231 ,0.9127 ,0.8750 ,1.0115 ,1.0549 
NK_cells,Plasma_cells,9.6280 ,4.0000 ,30.9220 ,4.0000 ,0.3114 ,1.0000 ,33.0210 ,7.0000 ,28.7290 ,3.0000 ,3.4297 ,1.7500 ,0.9291 ,0.7500 ,3.6915 ,2.3333 
NK_cells,Tcell_prolif,22.9880 ,9.0000 ,54.2960 ,13.0000 ,0.4234 ,0.6923 ,56.4270 ,14.0000 ,100.9130 ,18.0000 ,2.4546 ,1.5556 ,1.8586 ,1.3846 ,1.3207 ,1.1235 
NK_cells,Tregs,39.3910 ,9.0000 ,51.3950 ,10.0000 ,0.7664 ,0.9000 ,53.5410 ,11.0000 ,59.5950 ,12.0000 ,1.3592 ,1.2222 ,1.1595 ,1.2000 ,1.1722 ,1.0185 
NK_cells,Tumor_1,34.9520 ,7.0000 ,36.0650 ,6.0000 ,0.9691 ,1.1667 ,45.6190 ,8.0000 ,38.0320 ,7.0000 ,1.3052 ,1.1429 ,1.0545 ,1.1667 ,1.2377 ,0.9796 
NK_cells,Tumor_2,16.5480 ,5.0000 ,47.6220 ,12.0000 ,0.3475 ,0.4167 ,40.2100 ,6.0000 ,48.2430 ,11.0000 ,2.4299 ,1.2000 ,1.0130 ,0.9167 ,2.3986 ,1.3091 
NK_cells,pDCs,30.7490 ,16.0000 ,58.4520 ,14.0000 ,0.5261 ,1.1429 ,51.7870 ,12.0000 ,61.7790 ,15.0000 ,1.6842 ,0.7500 ,1.0569 ,1.0714 ,1.5935 ,0.7000 
Plasma_cells,B_cells,3.2040 ,2.0000 ,1.4380 ,1.0000 ,2.2281 ,2.0000 ,12.8920 ,4.0000 ,1.5100 ,1.0000 ,4.0237 ,2.0000 ,1.0501 ,1.0000 ,3.8319 ,2.0000 
Plasma_cells,CAFs,4.1590 ,3.0000 ,2.7340 ,1.0000 ,1.5212 ,3.0000 ,19.7820 ,5.0000 ,1.5250 ,2.0000 ,4.7564 ,1.6667 ,0.5578 ,2.0000 ,8.5273 ,0.8333 
Plasma_cells,CD4_T_cells,2.8220 ,2.0000 ,3.6320 ,3.0000 ,0.7770 ,0.6667 ,9.4640 ,3.0000 ,5.5080 ,5.0000 ,3.3536 ,1.5000 ,1.5165 ,1.6667 ,2.2114 ,0.9000 
Plasma_cells,CD8_act_T_cells,0.0000 ,0.0000 ,2.9870 ,3.0000 ,0.0000 ,0.0000 ,9.3230 ,3.0000 ,3.7110 ,2.0000 ,1.0000 ,1.0000 ,1.2424 ,0.6667 ,1.0000 ,1.0000 
Plasma_cells,CD8_ex_T_cells,10.5020 ,5.0000 ,5.7080 ,4.0000 ,1.8399 ,1.2500 ,12.9490 ,5.0000 ,4.4220 ,3.0000 ,1.2330 ,1.0000 ,0.7747 ,0.7500 ,1.5916 ,1.3333 
Plasma_cells,CD8_mem_T_cells,2.8960 ,1.0000 ,4.3700 ,3.0000 ,0.6627 ,0.3333 ,9.4960 ,3.0000 ,2.7150 ,1.0000 ,3.2790 ,3.0000 ,0.6213 ,0.3333 ,5.2778 ,9.0000 
Plasma_cells,DCs,6.5840 ,2.0000 ,7.8960 ,3.0000 ,0.8338 ,0.6667 ,41.4280 ,9.0000 ,11.2650 ,3.0000 ,6.2922 ,4.5000 ,1.4267 ,1.0000 ,4.4104 ,4.5000 
Plasma_cells,Endothelial,13.6730 ,3.0000 ,8.7710 ,3.0000 ,1.5589 ,1.0000 ,20.9400 ,9.0000 ,10.6810 ,5.0000 ,1.5315 ,3.0000 ,1.2178 ,1.6667 ,1.2576 ,1.8000 
Plasma_cells,Macrophages,3.5790 ,4.0000 ,4.3470 ,4.0000 ,0.8233 ,1.0000 ,20.6270 ,10.0000 ,5.0010 ,3.0000 ,5.7633 ,2.5000 ,1.1504 ,0.7500 ,5.0096 ,3.3333 
Plasma_cells,Melanocytes,2.5880 ,3.0000 ,0.7050 ,2.0000 ,3.6709 ,1.5000 ,9.0320 ,6.0000 ,1.1180 ,3.0000 ,3.4900 ,2.0000 ,1.5858 ,1.5000 ,2.2007 ,1.3333 
Plasma_cells,Myofibroblasts,3.1970 ,2.0000 ,3.7730 ,3.0000 ,0.8473 ,0.6667 ,9.9550 ,4.0000 ,2.7160 ,3.0000 ,3.1139 ,2.0000 ,0.7199 ,1.0000 ,4.3257 ,2.0000 
Plasma_cells,NK_cells,6.2770 ,2.0000 ,12.4100 ,6.0000 ,0.5058 ,0.3333 ,11.5100 ,6.0000 ,6.4640 ,3.0000 ,1.8337 ,3.0000 ,0.5209 ,0.5000 ,3.5204 ,6.0000 
Plasma_cells,Plasma_cells,0.1180 ,1.0000 ,2.6440 ,4.0000 ,0.0446 ,0.2500 ,11.0970 ,5.0000 ,3.1980 ,4.0000 ,94.0424 ,5.0000 ,1.2095 ,1.0000 ,77.7511 ,5.0000 
Plasma_cells,Tcell_prolif,1.1310 ,1.0000 ,4.2700 ,4.0000 ,0.2649 ,0.2500 ,10.4790 ,6.0000 ,3.9960 ,4.0000 ,9.2653 ,6.0000 ,0.9358 ,1.0000 ,9.9006 ,6.0000 
Plasma_cells,Tregs,3.6170 ,2.0000 ,4.9930 ,4.0000 ,0.7244 ,0.5000 ,9.4690 ,2.0000 ,4.2430 ,4.0000 ,2.6179 ,1.0000 ,0.8498 ,1.0000 ,3.0807 ,1.0000 
Plasma_cells,Tumor_1,0.7590 ,1.0000 ,1.3010 ,2.0000 ,0.5834 ,0.5000 ,2.8620 ,6.0000 ,1.8800 ,3.0000 ,3.7708 ,6.0000 ,1.4450 ,1.5000 ,2.6094 ,4.0000 
Plasma_cells,Tumor_2,0.0000 ,0.0000 ,7.3010 ,3.0000 ,0.0000 ,0.0000 ,2.1510 ,2.0000 ,4.8230 ,4.0000 ,1.0000 ,1.0000 ,0.6606 ,1.3333 ,1.0000 ,1.0000 
Plasma_cells,pDCs,8.6480 ,5.0000 ,7.3200 ,3.0000 ,1.1814 ,1.6667 ,12.9780 ,6.0000 ,9.9370 ,6.0000 ,1.5007 ,1.2000 ,1.3575 ,2.0000 ,1.1055 ,0.6000 
Tcell_prolif,B_cells,27.3780 ,7.0000 ,17.7300 ,8.0000 ,1.5442 ,0.8750 ,67.0970 ,14.0000 ,23.3090 ,12.0000 ,2.4508 ,2.0000 ,1.3147 ,1.5000 ,1.8642 ,1.3333 
Tcell_prolif,CAFs,49.6960 ,6.0000 ,24.8980 ,16.0000 ,1.9960 ,0.3750 ,58.3220 ,14.0000 ,25.5960 ,9.0000 ,1.1736 ,2.3333 ,1.0280 ,0.5625 ,1.1416 ,4.1481 
Tcell_prolif,CD4_T_cells,23.5840 ,8.0000 ,21.6500 ,9.0000 ,1.0893 ,0.8889 ,23.9180 ,8.0000 ,20.8240 ,9.0000 ,1.0142 ,1.0000 ,0.9618 ,1.0000 ,1.0544 ,1.0000 
Tcell_prolif,CD8_act_T_cells,17.2630 ,5.0000 ,20.6230 ,9.0000 ,0.8371 ,0.5556 ,21.3720 ,9.0000 ,21.4670 ,11.0000 ,1.2380 ,1.8000 ,1.0409 ,1.2222 ,1.1893 ,1.4727 
Tcell_prolif,CD8_ex_T_cells,26.6720 ,8.0000 ,25.2980 ,12.0000 ,1.0543 ,0.6667 ,34.0850 ,12.0000 ,24.5530 ,11.0000 ,1.2779 ,1.5000 ,0.9706 ,0.9167 ,1.3167 ,1.6364 
Tcell_prolif,CD8_mem_T_cells,25.2710 ,7.0000 ,28.3980 ,12.0000 ,0.8899 ,0.5833 ,30.5390 ,11.0000 ,21.1890 ,9.0000 ,1.2085 ,1.5714 ,0.7461 ,0.7500 ,1.6196 ,2.0952 
Tcell_prolif,DCs,81.8130 ,18.0000 ,57.7220 ,22.0000 ,1.4174 ,0.8182 ,71.6740 ,23.0000 ,62.0570 ,20.0000 ,0.8761 ,1.2778 ,1.0751 ,0.9091 ,0.8149 ,1.4056 
Tcell_prolif,Endothelial,79.2060 ,12.0000 ,42.5140 ,24.0000 ,1.8631 ,0.5000 ,64.3100 ,15.0000 ,44.2450 ,20.0000 ,0.8119 ,1.2500 ,1.0407 ,0.8333 ,0.7802 ,1.5000 
Tcell_prolif,Macrophages,76.1800 ,17.0000 ,62.3820 ,22.0000 ,1.2212 ,0.7727 ,71.7750 ,19.0000 ,39.4880 ,17.0000 ,0.9422 ,1.1176 ,0.6330 ,0.7727 ,1.4884 ,1.4464 
Tcell_prolif,Melanocytes,50.3150 ,9.0000 ,19.2300 ,8.0000 ,2.6165 ,1.1250 ,48.0240 ,8.0000 ,16.1690 ,8.0000 ,0.9545 ,0.8889 ,0.8408 ,1.0000 ,1.1352 ,0.8889 
Tcell_prolif,Myofibroblasts,41.3010 ,5.0000 ,18.4430 ,13.0000 ,2.2394 ,0.3846 ,61.2110 ,14.0000 ,11.5920 ,6.0000 ,1.4821 ,2.8000 ,0.6285 ,0.4615 ,2.3580 ,6.0667 
Tcell_prolif,NK_cells,31.4340 ,9.0000 ,29.0510 ,17.0000 ,1.0820 ,0.5294 ,40.0710 ,14.0000 ,24.7720 ,9.0000 ,1.2748 ,1.5556 ,0.8527 ,0.5294 ,1.4950 ,2.9383 
Tcell_prolif,Plasma_cells,40.6200 ,5.0000 ,9.1510 ,4.0000 ,4.4389 ,1.2500 ,44.6450 ,9.0000 ,9.8720 ,4.0000 ,1.0991 ,1.8000 ,1.0788 ,1.0000 ,1.0188 ,1.8000 
Tcell_prolif,Tcell_prolif,54.5800 ,9.0000 ,22.5740 ,13.0000 ,2.4178 ,0.6923 ,59.3470 ,17.0000 ,17.8990 ,8.0000 ,1.0873 ,1.8889 ,0.7929 ,0.6154 ,1.3713 ,3.0694 
Tcell_prolif,Tregs,30.2790 ,7.0000 ,26.7880 ,11.0000 ,1.1303 ,0.6364 ,27.3200 ,10.0000 ,20.7060 ,9.0000 ,0.9023 ,1.4286 ,0.7730 ,0.8182 ,1.1673 ,1.7460 
Tcell_prolif,Tumor_1,38.6010 ,6.0000 ,16.2100 ,9.0000 ,2.3813 ,0.6667 ,34.2990 ,7.0000 ,6.6960 ,5.0000 ,0.8886 ,1.1667 ,0.4131 ,0.5556 ,2.1510 ,2.1000 
Tcell_prolif,Tumor_2,1.3790 ,2.0000 ,16.1490 ,11.0000 ,0.0854 ,0.1818 ,42.5570 ,6.0000 ,10.8190 ,7.0000 ,30.8608 ,3.0000 ,0.6699 ,0.6364 ,46.0644 ,4.7143 
Tcell_prolif,pDCs,20.4910 ,11.0000 ,27.6550 ,14.0000 ,0.7410 ,0.7857 ,59.7390 ,15.0000 ,20.3540 ,10.0000 ,2.9154 ,1.3636 ,0.7360 ,0.7143 ,3.9611 ,1.9091 
Tregs,B_cells,17.2690 ,4.0000 ,33.7520 ,5.0000 ,0.5116 ,0.8000 ,63.1450 ,9.0000 ,64.4330 ,13.0000 ,3.6566 ,2.2500 ,1.9090 ,2.6000 ,1.9154 ,0.8654 
Tregs,CAFs,50.5530 ,8.0000 ,32.3550 ,6.0000 ,1.5624 ,1.3333 ,56.7040 ,7.0000 ,48.3100 ,13.0000 ,1.1217 ,0.8750 ,1.4931 ,2.1667 ,0.7512 ,0.4038 
Tregs,CD4_T_cells,10.3010 ,5.0000 ,8.8540 ,4.0000 ,1.1634 ,1.2500 ,7.2840 ,2.0000 ,19.4190 ,10.0000 ,0.7071 ,0.4000 ,2.1932 ,2.5000 ,0.3224 ,0.1600 
Tregs,CD8_act_T_cells,7.3550 ,4.0000 ,8.0810 ,5.0000 ,0.9102 ,0.8000 ,8.9540 ,5.0000 ,33.0140 ,11.0000 ,1.2174 ,1.2500 ,4.0854 ,2.2000 ,0.2980 ,0.5682 
Tregs,CD8_ex_T_cells,19.9990 ,6.0000 ,11.8860 ,6.0000 ,1.6826 ,1.0000 ,12.4360 ,5.0000 ,30.1920 ,12.0000 ,0.6218 ,0.8333 ,2.5401 ,2.0000 ,0.2448 ,0.4167 
Tregs,CD8_mem_T_cells,15.0460 ,7.0000 ,12.9490 ,7.0000 ,1.1619 ,1.0000 ,9.8760 ,3.0000 ,14.2900 ,6.0000 ,0.6564 ,0.4286 ,1.1036 ,0.8571 ,0.5948 ,0.5000 
Tregs,DCs,85.0070 ,17.0000 ,78.7270 ,17.0000 ,1.0798 ,1.0000 ,75.3410 ,20.0000 ,69.9930 ,20.0000 ,0.8863 ,1.1765 ,0.8891 ,1.1765 ,0.9969 ,1.0000 
Tregs,Endothelial,57.9180 ,7.0000 ,47.4700 ,10.0000 ,1.2201 ,0.7000 ,66.0760 ,11.0000 ,65.5660 ,17.0000 ,1.1409 ,1.5714 ,1.3812 ,1.7000 ,0.8260 ,0.9244 
Tregs,Macrophages,78.7770 ,16.0000 ,41.0650 ,14.0000 ,1.9183 ,1.1429 ,66.9220 ,13.0000 ,50.2090 ,20.0000 ,0.8495 ,0.8125 ,1.2227 ,1.4286 ,0.6948 ,0.5688 
Tregs,Melanocytes,49.5410 ,8.0000 ,36.3720 ,7.0000 ,1.3621 ,1.1429 ,48.1170 ,7.0000 ,50.0600 ,11.0000 ,0.9713 ,0.8750 ,1.3763 ,1.5714 ,0.7057 ,0.5568 
Tregs,Myofibroblasts,39.9250 ,5.0000 ,30.9980 ,6.0000 ,1.2880 ,0.8333 ,44.7250 ,6.0000 ,44.6420 ,13.0000 ,1.1202 ,1.2000 ,1.4402 ,2.1667 ,0.7778 ,0.5538 
Tregs,NK_cells,33.4870 ,7.0000 ,58.3220 ,12.0000 ,0.5742 ,0.5833 ,40.0730 ,9.0000 ,67.7890 ,12.0000 ,1.1967 ,1.2857 ,1.1623 ,1.0000 ,1.0296 ,1.2857 
Tregs,Plasma_cells,48.7240 ,7.0000 ,29.0120 ,5.0000 ,1.6794 ,1.4000 ,54.1430 ,10.0000 ,39.5570 ,6.0000 ,1.1112 ,1.4286 ,1.3635 ,1.2000 ,0.8150 ,1.1905 
Tregs,Tcell_prolif,58.2320 ,10.0000 ,39.6280 ,9.0000 ,1.4695 ,1.1111 ,52.4370 ,8.0000 ,48.1290 ,10.0000 ,0.9005 ,0.8000 ,1.2145 ,1.1111 ,0.7414 ,0.7200 
Tregs,Tregs,13.9640 ,5.0000 ,13.8560 ,6.0000 ,1.0078 ,0.8333 ,17.9320 ,6.0000 ,30.8490 ,12.0000 ,1.2842 ,1.2000 ,2.2264 ,2.0000 ,0.5768 ,0.6000 
Tregs,Tumor_1,42.0620 ,5.0000 ,34.0900 ,5.0000 ,1.2339 ,1.0000 ,44.4920 ,6.0000 ,42.1960 ,9.0000 ,1.0578 ,1.2000 ,1.2378 ,1.8000 ,0.8546 ,0.6667 
Tregs,Tumor_2,11.9580 ,4.0000 ,40.8460 ,8.0000 ,0.2928 ,0.5000 ,59.0770 ,8.0000 ,57.1050 ,16.0000 ,4.9404 ,2.0000 ,1.3981 ,2.0000 ,3.5337 ,1.0000 
Tregs,pDCs,28.1530 ,13.0000 ,53.9790 ,14.0000 ,0.5216 ,0.9286 ,64.3810 ,14.0000 ,68.8180 ,22.0000 ,2.2868 ,1.0769 ,1.2749 ,1.5714 ,1.7937 ,0.6853 
Tumor_1,B_cells,12.7950 ,3.0000 ,8.8270 ,7.0000 ,1.4495 ,0.4286 ,24.0060 ,9.0000 ,11.7210 ,6.0000 ,1.8762 ,3.0000 ,1.3279 ,0.8571 ,1.4130 ,3.5000 
Tumor_1,CAFs,58.4590 ,47.0000 ,41.6810 ,32.0000 ,1.4025 ,1.4688 ,47.8420 ,39.0000 ,46.6900 ,33.0000 ,0.8184 ,0.8298 ,1.1202 ,1.0313 ,0.7306 ,0.8046 
Tumor_1,CD4_T_cells,17.2890 ,8.0000 ,18.2180 ,12.0000 ,0.9490 ,0.6667 ,12.1920 ,7.0000 ,16.5420 ,10.0000 ,0.7052 ,0.8750 ,0.9080 ,0.8333 ,0.7766 ,1.0500 
Tumor_1,CD8_act_T_cells,17.2110 ,9.0000 ,12.7690 ,9.0000 ,1.3479 ,1.0000 ,20.3800 ,14.0000 ,21.7890 ,13.0000 ,1.1841 ,1.5556 ,1.7064 ,1.4444 ,0.6939 ,1.0769 
Tumor_1,CD8_ex_T_cells,23.2560 ,10.0000 ,22.1380 ,14.0000 ,1.0505 ,0.7143 ,25.3430 ,17.0000 ,20.3410 ,11.0000 ,1.0897 ,1.7000 ,0.9188 ,0.7857 ,1.1860 ,2.1636 
Tumor_1,CD8_mem_T_cells,23.9930 ,15.0000 ,19.0820 ,12.0000 ,1.2574 ,1.2500 ,27.4420 ,24.0000 ,15.2250 ,9.0000 ,1.1438 ,1.6000 ,0.7979 ,0.7500 ,1.4335 ,2.1333 
Tumor_1,DCs,25.0980 ,13.0000 ,21.8560 ,12.0000 ,1.1483 ,1.0833 ,30.0470 ,10.0000 ,20.4250 ,10.0000 ,1.1972 ,0.7692 ,0.9345 ,0.8333 ,1.2811 ,0.9231 
Tumor_1,Endothelial,40.3490 ,17.0000 ,53.6510 ,40.0000 ,0.7521 ,0.4250 ,44.3540 ,35.0000 ,53.1220 ,28.0000 ,1.0993 ,2.0588 ,0.9901 ,0.7000 ,1.1102 ,2.9412 
Tumor_1,Macrophages,31.9780 ,18.0000 ,27.4360 ,16.0000 ,1.1655 ,1.1250 ,27.5220 ,16.0000 ,20.6070 ,12.0000 ,0.8607 ,0.8889 ,0.7511 ,0.7500 ,1.1459 ,1.1852 
Tumor_1,Melanocytes,33.5630 ,15.0000 ,19.5590 ,12.0000 ,1.7160 ,1.2500 ,19.7850 ,11.0000 ,24.8470 ,16.0000 ,0.5895 ,0.7333 ,1.2704 ,1.3333 ,0.4640 ,0.5500 
Tumor_1,Myofibroblasts,37.3740 ,30.0000 ,51.7200 ,37.0000 ,0.7226 ,0.8108 ,38.7780 ,25.0000 ,46.1490 ,28.0000 ,1.0376 ,0.8333 ,0.8923 ,0.7568 ,1.1628 ,1.1012 
Tumor_1,NK_cells,30.9640 ,12.0000 ,33.5060 ,20.0000 ,0.9241 ,0.6000 ,27.1820 ,23.0000 ,22.5360 ,12.0000 ,0.8779 ,1.9167 ,0.6726 ,0.6000 ,1.3052 ,3.1944 
Tumor_1,Plasma_cells,8.9620 ,3.0000 ,3.4470 ,3.0000 ,2.5999 ,1.0000 ,20.8880 ,11.0000 ,8.3530 ,4.0000 ,2.3307 ,3.6667 ,2.4233 ,1.3333 ,0.9618 ,2.7500 
Tumor_1,Tcell_prolif,27.2040 ,20.0000 ,29.7880 ,21.0000 ,0.9133 ,0.9524 ,26.8600 ,22.0000 ,20.7830 ,10.0000 ,0.9874 ,1.1000 ,0.6977 ,0.4762 ,1.4152 ,2.3100 
Tumor_1,Tregs,17.1010 ,8.0000 ,15.1410 ,7.0000 ,1.1294 ,1.1429 ,22.8500 ,13.0000 ,20.3020 ,10.0000 ,1.3362 ,1.6250 ,1.3409 ,1.4286 ,0.9965 ,1.1375 
Tumor_1,Tumor_1,34.3120 ,31.0000 ,31.2610 ,29.0000 ,1.0976 ,1.0690 ,33.7210 ,41.0000 ,35.7910 ,35.0000 ,0.9828 ,1.3226 ,1.1449 ,1.2069 ,0.8584 ,1.0959 
Tumor_1,Tumor_2,38.7330 ,36.0000 ,65.9570 ,38.0000 ,0.5872 ,0.9474 ,37.9040 ,30.0000 ,39.3920 ,33.0000 ,0.9786 ,0.8333 ,0.5972 ,0.8684 ,1.6385 ,0.9596 
Tumor_1,pDCs,20.5730 ,13.0000 ,33.6470 ,17.0000 ,0.6114 ,0.7647 ,25.0200 ,17.0000 ,30.8910 ,18.0000 ,1.2162 ,1.3077 ,0.9181 ,1.0588 ,1.3247 ,1.2350 
Tumor_2,B_cells,21.6400 ,6.0000 ,18.6330 ,8.0000 ,1.1614 ,0.7500 ,18.0820 ,6.0000 ,16.9570 ,8.0000 ,0.8356 ,1.0000 ,0.9101 ,1.0000 ,0.9182 ,1.0000 
Tumor_2,CAFs,25.2630 ,16.0000 ,32.5700 ,21.0000 ,0.7757 ,0.7619 ,44.3670 ,21.0000 ,26.7930 ,18.0000 ,1.7562 ,1.3125 ,0.8226 ,0.8571 ,2.1349 ,1.5313 
Tumor_2,CD4_T_cells,20.3780 ,8.0000 ,29.5130 ,16.0000 ,0.6905 ,0.5000 ,14.6710 ,5.0000 ,15.4850 ,12.0000 ,0.7199 ,0.6250 ,0.5247 ,0.7500 ,1.3721 ,0.8333 
Tumor_2,CD8_act_T_cells,23.9910 ,9.0000 ,23.9890 ,11.0000 ,1.0001 ,0.8182 ,17.8360 ,8.0000 ,17.3510 ,12.0000 ,0.7434 ,0.8889 ,0.7233 ,1.0909 ,1.0279 ,0.8148 
Tumor_2,CD8_ex_T_cells,27.8700 ,10.0000 ,32.7320 ,20.0000 ,0.8515 ,0.5000 ,28.7980 ,11.0000 ,21.9060 ,13.0000 ,1.0333 ,1.1000 ,0.6693 ,0.6500 ,1.5440 ,1.6923 
Tumor_2,CD8_mem_T_cells,23.9340 ,10.0000 ,24.0160 ,13.0000 ,0.9966 ,0.7692 ,23.2590 ,15.0000 ,15.9940 ,12.0000 ,0.9718 ,1.5000 ,0.6660 ,0.9231 ,1.4592 ,1.6250 
Tumor_2,DCs,29.5360 ,13.0000 ,23.3830 ,12.0000 ,1.2631 ,1.0833 ,11.7960 ,5.0000 ,22.8850 ,12.0000 ,0.3994 ,0.3846 ,0.9787 ,1.0000 ,0.4081 ,0.3846 
Tumor_2,Endothelial,39.8700 ,18.0000 ,53.7260 ,41.0000 ,0.7421 ,0.4390 ,41.6720 ,27.0000 ,56.3330 ,33.0000 ,1.0452 ,1.5000 ,1.0485 ,0.8049 ,0.9968 ,1.8636 
Tumor_2,Macrophages,125.9240 ,25.0000 ,219.6090 ,28.0000 ,0.5734 ,0.8929 ,19.8900 ,11.0000 ,64.7810 ,20.0000 ,0.1580 ,0.4400 ,0.2950 ,0.7143 ,0.5355 ,0.6160 
Tumor_2,Melanocytes,29.1540 ,13.0000 ,18.6620 ,9.0000 ,1.5622 ,1.4444 ,26.7000 ,10.0000 ,16.6010 ,10.0000 ,0.9158 ,0.7692 ,0.8896 ,1.1111 ,1.0295 ,0.6923 
Tumor_2,Myofibroblasts,28.5840 ,16.0000 ,39.8720 ,24.0000 ,0.7169 ,0.6667 ,28.4750 ,15.0000 ,29.2740 ,18.0000 ,0.9962 ,0.9375 ,0.7342 ,0.7500 ,1.3568 ,1.2500 
Tumor_2,NK_cells,35.1770 ,11.0000 ,48.6190 ,26.0000 ,0.7235 ,0.4231 ,20.8170 ,14.0000 ,21.5000 ,15.0000 ,0.5918 ,1.2727 ,0.4422 ,0.5769 ,1.3382 ,2.2061 
Tumor_2,Plasma_cells,14.7950 ,7.0000 ,1.9390 ,1.0000 ,7.6302 ,7.0000 ,11.5300 ,4.0000 ,3.7020 ,2.0000 ,0.7793 ,0.5714 ,1.9092 ,2.0000 ,0.4082 ,0.2857 
Tumor_2,Tcell_prolif,32.4650 ,14.0000 ,32.8700 ,17.0000 ,0.9877 ,0.8235 ,22.2860 ,10.0000 ,22.1550 ,14.0000 ,0.6865 ,0.7143 ,0.6740 ,0.8235 ,1.0185 ,0.8673 
Tumor_2,Tregs,14.9750 ,7.0000 ,21.6800 ,12.0000 ,0.6907 ,0.5833 ,36.2710 ,11.0000 ,28.3550 ,15.0000 ,2.4221 ,1.5714 ,1.3079 ,1.2500 ,1.8519 ,1.2571 
Tumor_2,Tumor_1,34.7600 ,25.0000 ,29.8900 ,22.0000 ,1.1629 ,1.1364 ,18.9830 ,20.0000 ,30.1590 ,28.0000 ,0.5461 ,0.8000 ,1.0090 ,1.2727 ,0.5412 ,0.6286 
Tumor_2,Tumor_2,35.9820 ,24.0000 ,62.0260 ,32.0000 ,0.5801 ,0.7500 ,25.9160 ,20.0000 ,36.3280 ,29.0000 ,0.7202 ,0.8333 ,0.5857 ,0.9063 ,1.2297 ,0.9195 
Tumor_2,pDCs,25.3750 ,12.0000 ,38.6210 ,18.0000 ,0.6570 ,0.6667 ,20.0050 ,11.0000 ,29.4570 ,16.0000 ,0.7884 ,0.9167 ,0.7627 ,0.8889 ,1.0336 ,1.0313 
pDCs,B_cells,191.9980 ,5.0000 ,191.2150 ,8.0000 ,1.0041 ,0.6250 ,315.9310 ,9.0000 ,219.1070 ,7.0000 ,1.6455 ,1.8000 ,1.1459 ,0.8750 ,1.4360 ,2.0571 
pDCs,CAFs,307.7390 ,18.0000 ,301.7910 ,21.0000 ,1.0197 ,0.8571 ,335.8330 ,17.0000 ,342.1800 ,19.0000 ,1.0913 ,0.9444 ,1.1338 ,0.9048 ,0.9625 ,1.0439 
