Ligand.Cellset,Receptor.Cellset,PreEffectiveScore,PreEffectiveNum,PreNonEffectiveScore,PreNonEffectiveNum,PreEffectiveVsNonEffectiveScoreRatio,PreEffectiveVsNonEffectiveNumRatio,PostEffectiveScore,PostEffectiveNum,PostNonEffectiveScore,PostNonEffectiveNum,EffectivePostVsPreScoreRatio,EffectivePostVsPreNumRatio,NonEffectivePostVsPreScoreRatio,NonEffectivePostVsPreNumRatio,ResVsNonResScoreRatio,ResVsNonResNumRatio
Macrophages,CD8_act_T_cells,202.8320 ,18.0000 ,191.9040 ,18.0000 ,1.0569 ,1.0000 ,278.5160 ,10.0000 ,427.1440 ,20.0000 ,1.3731 ,0.5556 ,2.2258 ,1.1111 ,0.6169 ,0.5000 
Macrophages,CD8_ex_T_cells,282.4610 ,22.0000 ,236.6400 ,24.0000 ,1.1936 ,0.9167 ,272.4920 ,18.0000 ,517.3160 ,26.0000 ,0.9647 ,0.8182 ,2.1861 ,1.0833 ,0.4413 ,0.7552 
Macrophages,CD8_mem_T_cells,286.7650 ,23.0000 ,185.3240 ,22.0000 ,1.5474 ,1.0455 ,291.7530 ,13.0000 ,372.9170 ,19.0000 ,1.0174 ,0.5652 ,2.0122 ,0.8636 ,0.5056 ,0.6545 
Macrophages,DCs,407.8630 ,24.0000 ,263.4310 ,25.0000 ,1.5483 ,0.9600 ,425.0910 ,16.0000 ,552.6550 ,20.0000 ,1.0422 ,0.6667 ,2.0979 ,0.8000 ,0.4968 ,0.8333 
Macrophages,Endothelial,402.7800 ,22.0000 ,299.8650 ,34.0000 ,1.3432 ,0.6471 ,393.8520 ,23.0000 ,541.1600 ,29.0000 ,0.9778 ,1.0455 ,1.8047 ,0.8529 ,0.5418 ,1.2257 
Macrophages,Macrophages,403.3280 ,30.0000 ,286.4060 ,36.0000 ,1.4082 ,0.8333 ,420.5120 ,23.0000 ,608.4140 ,25.0000 ,1.0426 ,0.7667 ,2.1243 ,0.6944 ,0.4908 ,1.1040 
Macrophages,Melanocytes,353.1510 ,22.0000 ,267.4180 ,24.0000 ,1.3206 ,0.9167 ,287.3610 ,18.0000 ,507.9440 ,17.0000 ,0.8137 ,0.8182 ,1.8994 ,0.7083 ,0.4284 ,1.1551 
Macrophages,Myofibroblasts,349.1510 ,22.0000 ,209.5380 ,29.0000 ,1.6663 ,0.7586 ,362.0340 ,14.0000 ,501.1220 ,24.0000 ,1.0369 ,0.6364 ,2.3916 ,0.8276 ,0.4336 ,0.7689 
Macrophages,NK_cells,260.0540 ,14.0000 ,192.6770 ,20.0000 ,1.3497 ,0.7000 ,296.8560 ,17.0000 ,392.3340 ,21.0000 ,1.1415 ,1.2143 ,2.0362 ,1.0500 ,0.5606 ,1.1565 
Macrophages,Plasma_cells,265.6240 ,11.0000 ,123.8040 ,8.0000 ,2.1455 ,1.3750 ,260.8990 ,12.0000 ,320.9470 ,5.0000 ,0.9822 ,1.0909 ,2.5924 ,0.6250 ,0.3789 ,1.7455 
